cafeId	openDate	oneHourFee	closedDate	Age	sYear	sMonth	eYear	eMonth	nofXfollower
CCafe001	202406	3360	c	0.419	2024.0	6.0	2024.0	11.0	179.0
CCafe002	202408	4290	c	0.252	2024.0	8.0	2024.0	11.0	0.0
CCafe003	202405	3450	c	0.504	2024.0	5.0	2024.0	11.0	86.0
CCafe004	202403	3600	c	0.671	2024.0	3.0	2024.0	11.0	319.0
CCafe005	202408	4500	c	0.252	2024.0	8.0	2024.0	11.0	512.0
CCafe006	202312	3600	c	0.921	2023.0	12.0	2024.0	11.0	936.0
CCafe007	202404	3300	c	0.586	2024.0	4.0	2024.0	11.0	139.0
CCafe008	202406	4500	c	0.419	2024.0	6.0	2024.0	11.0	170.0
CCafe009	202405	3450	c	0.504	2024.0	5.0	2024.0	11.0	219.0
CCafe010	202404	3600	c	0.586	2024.0	4.0	2024.0	11.0	508.0
CCafe011	202403	4000	c	0.671	2024.0	3.0	2024.0	11.0	548.0
CCafe012	202306	3300	c	1.42	2023.0	6.0	2024.0	11.0	574.0
CCafe013	202405	3600	c	0.504	2024.0	5.0	2024.0	11.0	655.0
CCafe014	202406	4500	c	0.419	2024.0	6.0	2024.0	11.0	198.0
CCafe015	202404	3600	c	0.586	2024.0	4.0	2024.0	11.0	1623.0
CCafe016	202401	3000	c	0.836	2024.0	1.0	2024.0	11.0	237.0
CCafe017	202305	3307	c	1.51	2023.0	5.0	2024.0	11.0	131.0
CCafe018	202310	3600	c	1.09	2023.0	10.0	2024.0	11.0	713.0
CCafe019	202307	3300	c	1.34	2023.0	7.0	2024.0	11.0	1758.0
CCafe020	202203	3600	c	2.67	2022.0	3.0	2024.0	11.0	1259.0
CCafe021	202207	3300	c	2.34	2022.0	7.0	2024.0	11.0	1329.0
CCafe022	202204	3600	c	2.59	2022.0	4.0	2024.0	11.0	1655.0
CCafe023	202208	5400	c	2.25	2022.0	8.0	2024.0	11.0	2170.0
CCafe024	202104	3300	c	3.59	2021.0	4.0	2024.0	11.0	2719.0
CCafe025	202110	2970	c	3.09	2021.0	10.0	2024.0	11.0	1710.0
CCafe026	202312	5760	c	0.921	2023.0	12.0	2024.0	11.0	233.0
CCafe027	202404	3800	c	0.586	2024.0	4.0	2024.0	11.0	903.0
CCafe028	202308	4800	c	1.25	2023.0	8.0	2024.0	11.0	158.0
CCafe029	202404	2875	c	0.586	2024.0	4.0	2024.0	11.0	1174.0
CCafe030	202405	4425	c	0.504	2024.0	5.0	2024.0	11.0	1057.0
CCafe031	202107	3600	c	3.34	2021.0	7.0	2024.0	11.0	516.0
CCafe032	202402	3300	c	0.751	2024.0	2.0	2024.0	11.0	98.0
CCafe033	202312	4000	c	0.921	2023.0	12.0	2024.0	11.0	789.0
CCafe034	202404	2800	c	0.586	2024.0	4.0	2024.0	11.0	2348.0
CCafe035	202402	4500	c	0.751	2024.0	2.0	2024.0	11.0	354.0
CCafe036	202403	unknown	c	0.671	2024.0	3.0	2024.0	11.0	362.0
CCafe037	202403	4500	c	0.671	2024.0	3.0	2024.0	11.0	648.0
CCafe038	202312	4320	c	0.921	2023.0	12.0	2024.0	11.0	469.0
CCafe039	202402	3000	c	0.751	2024.0	2.0	2024.0	11.0	745.0
CCafe040	202403	2500	c	0.671	2024.0	3.0	2024.0	11.0	549.0
CCafe041	202403	4950	c	0.671	2024.0	3.0	2024.0	11.0	3438.0
CCafe042	202402	5760	c	0.751	2024.0	2.0	2024.0	11.0	671.0
CCafe043	202402	3300	c	0.751	2024.0	2.0	2024.0	11.0	483.0
CCafe044	202211	3300	c	2.0	2022.0	11.0	2024.0	11.0	601.0
CCafe045	202403	3500	c	0.671	2024.0	3.0	2024.0	11.0	5334.0
CCafe046	202312	4500	c	0.921	2023.0	12.0	2024.0	11.0	2763.0
CCafe047	202402	3000	c	0.751	2024.0	2.0	2024.0	11.0	411.0
CCafe048	202312	4400	c	0.921	2023.0	12.0	2024.0	11.0	1015.0
CCafe049	202312	2500	c	0.921	2023.0	12.0	2024.0	11.0	798.0
CCafe050	202309	2500	c	1.17	2023.0	9.0	2024.0	11.0	187.0
CCafe051	202311	3300	c	1.0	2023.0	11.0	2024.0	11.0	585.0
CCafe052	202311	4320	c	1.0	2023.0	11.0	2024.0	11.0	129.0
CCafe053	202403	3600	c	0.671	2024.0	3.0	2024.0	11.0	385.0
CCafe054	202311	4000	c	1.0	2023.0	11.0	2024.0	11.0	256.0
CCafe055	202312	3000	c	0.921	2023.0	12.0	2024.0	11.0	1044.0
CCafe056	202312	3300	c	0.921	2023.0	12.0	2024.0	11.0	626.0
CCafe057	202311	3900	c	1.0	2023.0	11.0	2024.0	11.0	213.0
CCafe058	202311	3600	c	1.0	2023.0	11.0	2024.0	11.0	224.0
CCafe059	202312	3600	c	0.921	2023.0	12.0	2024.0	11.0	282.0
CCafe060	202310	5850	c	1.09	2023.0	10.0	2024.0	11.0	286.0
CCafe061	202312	3300	c	0.921	2023.0	12.0	2024.0	11.0	335.0
CCafe062	202311	3125	c	1.0	2023.0	11.0	2024.0	11.0	1844.0
CCafe063	202310	4500	c	1.09	2023.0	10.0	2024.0	11.0	1605.0
CCafe064	202304	5000	c	1.59	2023.0	4.0	2024.0	11.0	262.0
CCafe065	202403	3600	c	0.671	2024.0	3.0	2024.0	11.0	1164.0
CCafe066	202302	4200	c	1.75	2023.0	2.0	2024.0	11.0	859.0
CCafe067	202212	4550	c	1.92	2022.0	12.0	2024.0	11.0	19000.0
CCafe068	202205	unknown	c	2.51	2022.0	5.0	2024.0	11.0	1130.0
CCafe069	202205	2750	c	2.51	2022.0	5.0	2024.0	11.0	602.0
CCafe070	202112	5400	c	2.92	2021.0	12.0	2024.0	11.0	768.0
CCafe071	202110	4425	c	3.09	2021.0	10.0	2024.0	11.0	1974.0
CCafe072	202111	4320	c	3.0	2021.0	11.0	2024.0	11.0	501.0
CCafe073	202109	3190	c	3.17	2021.0	9.0	2024.0	11.0	7569.0
CCafe074	202109	unknown	c	3.17	2021.0	9.0	2024.0	11.0	950.0
CCafe075	202104	3300	c	3.59	2021.0	4.0	2024.0	11.0	4347.0
CCafe076	202307	3500	c	1.34	2023.0	7.0	2024.0	11.0	1538.0
CCafe077	202310	3300	c	1.09	2023.0	10.0	2024.0	11.0	1002.0
CCafe078	202309	unknown	c	1.17	2023.0	9.0	2024.0	11.0	306.0
CCafe079	202312	4500	c	0.921	2023.0	12.0	2024.0	11.0	284.0
CCafe080	202307	3600	c	1.34	2023.0	7.0	2024.0	11.0	129.0
CCafe081	202204	3000	c	2.59	2022.0	4.0	2024.0	11.0	
CCafe082	202306	3000	c	1.42	2023.0	6.0	2024.0	11.0	882.0
CCafe083	202303	6000	c	1.67	2023.0	3.0	2024.0	11.0	1208.0
CCafe084	202302	5040	c	1.75	2023.0	2.0	2024.0	11.0	2677.0
CCafe085	202212	2500	c	1.92	2022.0	12.0	2024.0	11.0	1286.0
CCafe086	202209	4176	c	2.17	2022.0	9.0	2024.0	11.0	1635.0
CCafe087	202207	3600	c	2.34	2022.0	7.0	2024.0	11.0	2198.0
CCafe088	202208	5520	c	2.25	2022.0	8.0	2024.0	11.0	306.0
CCafe089	202207	3600	c	2.34	2022.0	7.0	2024.0	11.0	1547.0
CCafe090	202208	3960	c	2.25	2022.0	8.0	2024.0	11.0	1078.0
CCafe091	202112	3600	c	2.92	2021.0	12.0	2024.0	11.0	287.0
CCafe092	202205	3080	c	2.51	2022.0	5.0	2024.0	11.0	382.0
CCafe093	202204	4950	c	2.59	2022.0	4.0	2024.0	11.0	1625.0
CCafe094	202201	4950	c	2.84	2022.0	1.0	2024.0	11.0	958.0
CCafe095	202202	2800	c	2.75	2022.0	2.0	2024.0	11.0	407.0
CCafe096	201903	4000	c	5.68	2019.0	3.0	2024.0	11.0	3016.0
CCafe097	202111	5445	c	3.0	2021.0	11.0	2024.0	11.0	5311.0
CCafe098	202107	4950	c	3.34	2021.0	7.0	2024.0	11.0	269.0
CCafe099	202007	unknown	c	4.34	2020.0	7.0	2024.0	11.0	1986.0
CCafe100	202106	4500	c	3.42	2021.0	6.0	2024.0	11.0	1063.0
CCafe101	202312	3874	c	0.921	2023.0	12.0	2024.0	11.0	924.0
CCafe102	200712	4290	c	16.9	2007.0	12.0	2024.0	11.0	419.0
CCafe103	202311	5400	c	1.0	2023.0	11.0	2024.0	11.0	1163.0
CCafe104	202308	4500	c	1.25	2023.0	8.0	2024.0	11.0	236.0
CCafe105	202309	4500	c	1.17	2023.0	9.0	2024.0	11.0	389.0
CCafe106	202308	3300	c	1.25	2023.0	8.0	2024.0	11.0	650.0
CCafe107	201908	4800	c	5.26	2019.0	8.0	2024.0	11.0	1172.0
CCafe108	202301	3000	c	1.84	2023.0	1.0	2024.0	11.0	743.0
CCafe109	202212	3600	c	1.92	2022.0	12.0	2024.0	11.0	681.0
CCafe110	202304	3300	c	1.59	2023.0	4.0	2024.0	11.0	2235.0
CCafe111	202306	4000	c	1.42	2023.0	6.0	2024.0	11.0	1934.0
CCafe112	202305	1980	c	1.51	2023.0	5.0	2024.0	11.0	346.0
CCafe113	202303	3300	c	1.67	2023.0	3.0	2024.0	11.0	946.0
CCafe114	202209	3600	c	2.17	2022.0	9.0	2024.0	11.0	138.0
CCafe115	202101	4425	c	3.84	2021.0	1.0	2024.0	11.0	2197.0
CCafe116	202405	unknown	c	0.504	2024.0	5.0	2024.0	11.0	1734.0
CCafe117	202103	3300	c	3.67	2021.0	3.0	2024.0	11.0	1224.0
CCafe118	202101	unknown	c	3.84	2021.0	1.0	2024.0	11.0	1295.0
CCafe119	202102	4500	c	3.75	2021.0	2.0	2024.0	11.0	2264.0
CCafe120	202005	4500	c	4.51	2020.0	5.0	2024.0	11.0	1715.0
CCafe121	201501	unknown	c	9.84	2015.0	1.0	2024.0	11.0	3338.0
CCafe122	201903	unknown	c	5.68	2019.0	3.0	2024.0	11.0	9767.0
CCafe123	201912	2475	c	4.92	2019.0	12.0	2024.0	11.0	1975.0
CCafe124	201306	1500	c	11.4	2013.0	6.0	2024.0	11.0	1800.0
CCafe125	201308	2750	c	11.3	2013.0	8.0	2024.0	11.0	3888.0
CCafe126	202212	5400	c	1.92	2022.0	12.0	2024.0	11.0	958.0
CCafe127	202212	3600	c	1.92	2022.0	12.0	2024.0	11.0	
CCafe128	202301	4320	c	1.84	2023.0	1.0	2024.0	11.0	207.0
CCafe129	202211	2800	c	2.0	2022.0	11.0	2024.0	11.0	815.0
CCafe130	202112	2500	c	2.92	2021.0	12.0	2024.0	11.0	283.0
CCafe131	202209	5400	c	2.17	2022.0	9.0	2024.0	11.0	1399.0
CCafe132	202208	3520	c	2.25	2022.0	8.0	2024.0	11.0	3462.0
CCafe133	202304	5520	c	1.59	2023.0	4.0	2024.0	11.0	235.0
CCafe134	202206	2500	c	2.42	2022.0	6.0	2024.0	11.0	3148.0
CCafe135	202204	unknown	c	2.59	2022.0	4.0	2024.0	11.0	1351.0
CCafe136	202206	4608	c	2.42	2022.0	6.0	2024.0	11.0	552.0
CCafe137	202112	2800	c	2.92	2021.0	12.0	2024.0	11.0	1896.0
CCafe138	202010	2500	c	4.09	2020.0	10.0	2024.0	11.0	1896.0
CCafe139	202205	2600	c	2.51	2022.0	5.0	2024.0	11.0	1819.0
CCafe140	202205	2750	c	2.51	2022.0	5.0	2024.0	11.0	601.0
CCafe141	202203	4569	c	2.67	2022.0	3.0	2024.0	11.0	482.0
CCafe142	202202	4569	c	2.75	2022.0	2.0	2024.0	11.0	855.0
CCafe143	202011	2200	c	4.0	2020.0	11.0	2024.0	11.0	893.0
CCafe144	202007	3080	c	4.34	2020.0	7.0	2024.0	11.0	510.0
CCafe145	202109	2879	c	3.17	2021.0	9.0	2024.0	11.0	1387.0
CCafe146	202204	3200	202402	1.84	2022.0	4.0	2024.0	2.0	544.0
CCafe147	202204	3600	c	2.59	2022.0	4.0	2024.0	11.0	1918.0
CCafe148	202010	4768	c	4.09	2020.0	10.0	2024.0	11.0	1929.0
CCafe149	202201	unknown	c	2.84	2022.0	1.0	2024.0	11.0	1332.0
CCafe150	202201	unknown	c	2.84	2022.0	1.0	2024.0	11.0	977.0
CCafe151	202202	5400	c	2.75	2022.0	2.0	2024.0	11.0	5064.0
