Description	Nofcc	Upper	Decided
メイド	136	upper職業	2
アイドル	46	upper職業	2
かわいい	33	upper外観	2
シーシャ	21	upper店内設備	2
コスプレ	21	upper職業ORORupper趣味	2
ガールズバー	19	upper接客方法ORORupperバーupper施設upper人工物	2
天使	16	upper神upper善	2
お姫様	13	upper身分	2
悪魔	12	upper悪	2
不明	12	upperなし	2
隠れ家	12	upper店内設備	2
小悪魔	11	upper悪魔upper悪	2
異世界	10	upperなし	2
猫	9	upper動物	2
推し活	9	upper活動	2
ドール	9	upperおもちゃ	2
うさぎ	8	upper動物	2
チャイナ	7	upper国	2
動物	6	upperなし	2
夢の国	6	divdiVupper夢upper空想_divdiVupper異世界	2
魔法	6	upper空想	2
妖精	6	upper空想	2
ダーツ	6	upperゲームupperエンタメ	2
サキュバス	6	悪魔upper悪	2
すっぴん	5	upper外観	2
ライブ	5	upper店内設備	2
けもみみ	5	upper動物	2
惑星	5	upper星upper宇宙	2
魔法少女	5	upper魔法upper空想	2
星	5	upper宇宙	2
電脳	5	upperデジタル	2
魔法学園	4	divdiVupper魔法upper空想_divdiVupper学校upper施設upper人工物	2
ゆめかわ	4	divdiVupper夢upper空想_divdiVupperかわいいupper外観	2
バニーガール	4	upper職業	2
スナック	4	upper接客方法ORORupper施設upper人工物	2
病院	4	upper施設upper人工物	2
ボードゲーム	4	upperゲームupperエンタメ	2
大正ロマン	4	divdiVupper大正upper時代_divdiVupperロマンupper気持ち	2
お城	4	upper施設upper人工物	2
子猫	4	upper猫upper動物	2
スポーツ	4	upperエンタメ	2
ゲーム	4	upperエンタメ	2
競馬	4	upperギャンブルupperエンタメ	2
幽霊	3	upper現象	2
サブカルチャー	3	upperなし	2
カジノ	3	upperギャンブルupperエンタメORORupper施設upper人工物	2
ドラゴン	3	upper動物ORORupper空想	2
天国	3	upper異世界ORORupper神upper善	2
お酒	3	upper飲み物upper店内サービス	2
魔法学院	3	divdiVupper魔法upper空想_divdiVupper学校upper施設upper人工物	2
インフルエンサ―	3	upper職業	2
猫耳メイド	3	divdiVupper猫耳upperけもみみupper動物_divdiVupperメイドupper職業	2
ゴシック	3	upperファッション	2
未来	3	upper時代	2
おしゃれ	3	upper外観	2
近未来	3	upper時代	2
やみかわ	3	divdiVupper闇upper自然_divdiVupperかわいいupper外観	2
顔ラン	3	upper外観	2
シンデレラ	3	upperお姫様upper身分	2
ピンク	3	upper色	2
海	3	upper自然	2
アンティーク	3	upperその他物	2
宝石	3	upperその他物	2
チアガール	3	upper職業	2
月	3	upper星upper宇宙	2
妹	3	upper外観	2
エンタメ	3	upperなし	2
不思議の国のアリス	3	upper異世界	2
堕天使	3	upper悪魔upper悪	2
アンドロイド	3	upperロボット	2
ヴァンパイア	2	upper悪魔upper悪	2
パチンコ	2	upperギャンブルupperエンタメ	2
かわいい制服	2	divdiVupperかわいいupper外観_divdiVupper制服upperファッション	2
ロールプレイング	2	upperゲームupperエンタメ	2
声優	2	upper職業	2
あにぽり	2	divdiVupperアニメupperエンタメORORupperアニメupperサブカルチャー_divdiVupper警察upper職業	2
スロット	2	upperギャンブルupperエンタメ	2
猫耳	2	upperけもみみupper動物	2
映え	2	upper性質	2
アニソン	2	divdiVupperアニメupperエンタメORORupperアニメupperサブカルチャー_divdiVupper音楽upperエンタメ	2
ネオン	2	upper装飾upperその他物	2
オタク	2	upper性質	2
サイバーパンク	2	divdiVupperサイバーupper電脳upperデジタル_divdiVupper音楽upperエンタメ	2
マーメイド	2	upper海upper自然ORORupper空想ORORupper動物	2
セクシー	2	upper外観	2
キラキラ	2	upper外観	2
シスター	2	upper神upper善ORORupper職業	2
巫女	2	upper和ORORupper職業	2
昭和	2	upper時代ORORupper和	2
幸せ	2	upper気持ち	2
雨	2	upper天気upper自然	2
夢	2	upper空想	2
飲みベ	2	upper能力	2
天界	2	upper異世界ORORupper神upper善	2
犬	2	upper動物	2
黒猫	2	divdiVupper黒upper色_divdiVupper猫upper動物	2
秘書	2	upper職業	2
楽しい	2	upper気持ち	2
美容学園	2	divdiVupper美容upper外観_divdiVupper学校upper施設upper人工物	2
桜	2	upper花upper自然	2
ダンス	2	upper店内サービス	2
キョンシー	2	チャイナupper国	2
海賊	2	upperならず者ORORupper職業	2
学園	2	upper学校upper施設upper人工物	2
警察	2	upper職業	2
タレント	2	upper職業	2
