CCafeName	ccTerms
CCafe001	CC0600000
CCafe001	CC06m0000
CCafe002	CC1600000
CCafe002	CC1610000
CCafe002	CC1611000
CCafe003	CC1700000
CCafe003	CC1710000
CCafe003	CC1714000
CCafe004	CC0100000
CCafe004	CC01f0000
CCafe004	CC01f6000
CCafe004	CC1500000
CCafe004	CC1510000
CCafe004	CC2400000
CCafe004	CC2420000
CCafe004	CC2423000
CCafe004	CC3000000
CCafe004	CC3020000
CCafe004	CC3021000
CCafe004	CC3030000
CCafe004	CC3031000
CCafe005	CC0200000
CCafe005	CC0220000
CCafe005	CC022l000
CCafe006	CC0100000
CCafe006	CC0130000
CCafe006	CC3100000
CCafe006	CC3120000
CCafe007	CC0100000
CCafe007	CC01f0000
CCafe007	CC01t0000
CCafe007	CC0200000
CCafe007	CC0220000
CCafe007	CC022g000
CCafe007	CC1200000
CCafe007	CC1290000
CCafe007	CC1295000
CCafe008	CC1100000
CCafe008	CC1110000
CCafe009	CC0600000
CCafe010	CC0300000
CCafe010	CC0370000
CCafe010	CC0900000
CCafe010	CC0970000
CCafe010	CC0976000
CCafe011	CC0100000
CCafe011	CC0190000
CCafe011	CC0191000
CCafe012	CC0900000
CCafe012	CC0970000
CCafe013	CC1200000
CCafe013	CC1270000
CCafe014	CC1600000
CCafe014	CC1620000
CCafe014	CC1700000
CCafe014	CC1710000
CCafe015	CC3100000
CCafe015	CC3120000
CCafe016	CC0300000
CCafe016	CC0350000
CCafe016	CC1400000
CCafe016	CC1410000
CCafe016	CC1412000
CCafe016	CC1412200
CCafe017	CC0400000
CCafe017	CC04p0000
CCafe017	CC2300000
CCafe017	CC2310000
CCafe018	CC0100000
CCafe018	CC0130000
CCafe018	CC3100000
CCafe018	CC3120000
CCafe019	CC0100000
CCafe019	CC0130000
CCafe019	CC1400000
CCafe019	CC1410000
CCafe019	CC1412000
CCafe019	CC1700000
CCafe019	CC1710000
CCafe020	CC0200000
CCafe020	CC0240000
CCafe020	CC0241000
CCafe020	CC0900000
CCafe020	CC0960000
CCafe020	CC0962000
CCafe020	CC1200000
CCafe020	CC1270000
CCafe020	CC1272000
CCafe021	CC0100000
CCafe021	CC0130000
CCafe021	CC0136000
CCafe021	CC0500000
CCafe021	CC05n0000
CCafe021	CC05n1000
CCafe022	CC0900000
CCafe022	CC0980000
CCafe022	CC0982000
CCafe022	CC1900000
CCafe022	CC1930000
CCafe022	CC1934000
CCafe023	CC0200000
CCafe023	CC0220000
CCafe023	CC022q000
CCafe023	CC022q100
CCafe023	CC1300000
CCafe023	CC1380000
CCafe023	CC1381000
CCafe024	CC0100000
CCafe024	CC01f0000
CCafe024	CC01f3000
CCafe024	CC0500000
CCafe024	CC0540000
CCafe024	CC0541000
CCafe024	CC0700000
CCafe024	CC0770000
CCafe024	CC0771000
CCafe025	CC2400000
CCafe025	CC2420000
CCafe026	CC0300000
CCafe026	CC0370000
CCafe027	CC0300000
CCafe027	CC0370000
CCafe027	CC0375000
CCafe027	CC0375200
CCafe027	CC0400000
CCafe027	CC04k0000
CCafe027	CC04k2000
CCafe027	CC0500000
CCafe027	CC05r0000
CCafe027	CC05r1000
CCafe028	CC0100000
CCafe028	CC0130000
CCafe028	CC0133000
CCafe028	CC2900000
CCafe028	CC2920000
CCafe028	CC2921000
CCafe029	CC0800000
CCafe029	CC0880000
CCafe030	CC0200000
CCafe030	CC0220000
CCafe030	CC0224000
CCafe030	CC1300000
CCafe030	CC1320000
CCafe031	CC0200000
CCafe031	CC0220000
CCafe031	CC022h000
CCafe032	CC0600000
CCafe032	CC1700000
CCafe032	CC1710000
CCafe033	CC1500000
CCafe033	CC1510000
CCafe033	CC1700000
CCafe033	CC1710000
CCafe033	CC1711000
CCafe033	CC1711100
CCafe033	CC3800000
CCafe033	CC3820000
CCafe033	CC3821000
CCafe033	CC3821100
CCafe034	CC0100000
CCafe034	CC01f0000
CCafe034	CC1600000
CCafe034	CC1610000
CCafe035	CC1100000
CCafe035	CC11d0000
CCafe035	CC2400000
CCafe035	CC2460000
CCafe036	CC0900000
CCafe036	CC0990000
CCafe037	CC0100000
CCafe037	CC01f0000
CCafe037	CC0200000
CCafe037	CC0220000
CCafe037	CC0225000
CCafe037	CC0600000
CCafe038	CC1200000
CCafe038	CC1230000
CCafe038	CC1231000
CCafe038	CC1900000
CCafe038	CC1930000
CCafe038	CC1935000
CCafe039	CC0200000
CCafe039	CC0220000
CCafe039	CC0221000
CCafe039	CC0221100
CCafe039	CC1800000
CCafe039	CC1860000
CCafe039	CC1861000
CCafe040	CC1400000
CCafe040	CC1410000
CCafe040	CC1412000
CCafe040	CC1412300
CCafe040	CC2500000
CCafe040	CC2540000
CCafe040	CC2541000
CCafe041	CC0600000
CCafe041	CC0690000
CCafe042	CC0100000
CCafe042	CC01d0000
CCafe042	CC0200000
CCafe042	CC0220000
CCafe042	CC0226000
CCafe042	CC0230000
CCafe042	CC0233000
CCafe042	CC1300000
CCafe042	CC1330000
CCafe043	CC0100000
CCafe043	CC0130000
CCafe043	CC0600000
CCafe043	CC0610000
CCafe043	CC1000000
CCafe043	CC10b0000
CCafe043	CC10b1000
CCafe043	CC10b1200
CCafe044	CC0100000
CCafe044	CC01f0000
CCafe044	CC0200000
CCafe044	CC0220000
CCafe044	CC0229000
CCafe044	CC1300000
CCafe044	CC1350000
CCafe044	CC1500000
CCafe044	CC1590000
CCafe045	CC0200000
CCafe045	CC0210000
CCafe045	CC0211000
CCafe045	CC0220000
CCafe045	CC022j000
CCafe045	CC2200000
CCafe045	CC2220000
CCafe045	CC2221000
CCafe046	CC0300000
CCafe046	CC0340000
CCafe047	CC0500000
CCafe047	CC05d0000
CCafe048	CC1000000
CCafe048	CC1090000
CCafe049	CC0100000
CCafe049	CC0130000
CCafe049	CC0133000
CCafe049	CC2900000
CCafe049	CC2920000
CCafe049	CC2921000
CCafe050	CC0100000
CCafe050	CC01f0000
CCafe050	CC01f2000
CCafe050	CC0600000
CCafe050	CC0670000
CCafe050	CC0900000
CCafe050	CC0960000
CCafe050	CC0961000
CCafe050	CC1100000
CCafe050	CC1130000
CCafe050	CC1131000
CCafe051	CC1100000
CCafe051	CC11d0000
CCafe051	CC11d2000
CCafe051	CC2600000
CCafe051	CC2640000
CCafe052	CC1500000
CCafe052	CC1590000
CCafe052	CC3000000
CCafe052	CC3020000
CCafe053	CC0500000
CCafe053	CC0520000
CCafe053	CC0530000
CCafe053	CC05k0000
CCafe054	CC1700000
CCafe054	CC1710000
CCafe055	CC0100000
CCafe055	CC0140000
CCafe055	CC0170000
CCafe055	CC4100000
CCafe055	CC4110000
CCafe056	CC0100000
CCafe056	CC01f0000
CCafe056	CC0500000
CCafe056	CC05i0000
