AnimeBirthYM	animeDesc	BirthYM_dt	CCterm	ConceptDesc	ConceptBirthYM	TimingFlag	Connection
2001-07	シャーマンキング	2001-07-01	CC0100000	Occupation	2002-06	PreToBirth	1
2001-07	スクライド	2001-07-01	CC0100000	Occupation	2002-06	PreToBirth	0
2001-07	フルーツバスケット（第1作）	2001-07-01	CC0100000	Occupation	2002-06	PreToBirth	1
2001-07	ののちゃん	2001-07-01	CC0100000	Occupation	2002-06	PreToBirth	1
2001-07	グラップラー刃牙 -最大トーナメント編-	2001-07-01	CC0100000	Occupation	2002-06	PreToBirth	1
2001-10	くるくるアミー	2001-10-01	CC0100000	Occupation	2002-06	PreToBirth	1
2001-10	ちっちゃな雪使いシュガー	2001-10-01	CC0100000	Occupation	2002-06	PreToBirth	1
2001-10	X -エックス-	2001-10-01	CC0100000	Occupation	2002-06	PreToBirth	1
2001-10	PROJECT ARMS The 2nd Chapter	2001-10-01	CC0100000	Occupation	2002-06	PreToBirth	1
2001-10	星のカービィ	2001-10-01	CC0100000	Occupation	2002-06	PreToBirth	0
2001-10	キャプテン翼（2001年版）	2001-10-01	CC0100000	Occupation	2002-06	PreToBirth	1
2001-10	激闘!クラッシュギアTURBO	2001-10-01	CC0100000	Occupation	2002-06	PreToBirth	1
2001-10	テニスの王子様	2001-10-01	CC0100000	Occupation	2002-06	PreToBirth	1
2001-10	ヒカルの碁	2001-10-01	CC0100000	Occupation	2002-06	PreToBirth	1
2001-10	カスミン（第1期）	2001-10-01	CC0100000	Occupation	2002-06	PreToBirth	1
2001-10	GROOVE ADVENTURE RAVE	2001-10-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-01	きっかけはラフくん	2002-01-01	CC0100000	Occupation	2002-06	PreToBirth	0
2002-01	爆転シュート ベイブレード 2002	2002-01-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-01	キン肉マンII世	2002-01-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-01	七人のナナ	2002-01-01	CC0100000	Occupation	2002-06	PreToBirth	0
2002-01	フルメタル・パニック!	2002-01-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-01	ラーゼフォン	2002-01-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-02	おジャ魔女どれみドッカ〜ン!	2002-02-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-03	ロックマンエグゼ	2002-03-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-04	ちょびっツ	2002-04-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-04	天地無用! GXP	2002-04-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-04	東京アンダーグラウンド	2002-04-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-04	.hack//SIGN	2002-04-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-04	天使な小生意気	2002-04-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-04	東京ミュウミュウ	2002-04-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-04	満月をさがして	2002-04-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-04	わがまま☆フェアリー ミルモでポン!	2002-04-01	CC0100000	Occupation	2002-06	PreToBirth	0
2002-04	デジモンフロンティア	2002-04-01	CC0100000	Occupation	2002-06	PreToBirth	0
2002-04	ぴたテン	2002-04-01	CC0100000	Occupation	2002-06	PreToBirth	1
