CCID	ccTerm
CC0100000	職業
CC0110000	DJ
CC0120000	OL
CC0130000	アイドル
CC0131000	アイドルオタク
CC0132000	アイドル学校
CC0133000	アイドル育成
CC0134000	グラビアアイドル
CC0135000	バーチャルアイドル
CC0136000	正統派アイドル
CC0137000	韓国アイドル
CC0138000	飲めるアイドル
CC0140000	インフルエンサ―
CC0150000	ウェイトレス
CC0151000	アメリカンウェイトレス
CC0160000	クリエーター
CC0170000	コスプレ
CC0180000	シスター
CC0190000	スパイ
CC0191000	裏社会情報員
CC01a0000	タレント
CC01b0000	チアガール
CC01c0000	ナース
CC01c1000	エンジェルナース
CC01d0000	バニーガール
CC01e0000	ミリタリー
CC01f0000	メイド
CC01f1000	かわいいメイド
CC01f2000	けもみみメイド
CC01f3000	ひきこもりジャージメイド
CC01f4000	アニマルメイド
CC01f5000	ゴシックメイド
CC01f6000	チャイナメイド
CC01f7000	バニーメイド
CC01f8000	メイド服
CC01f9000	吸血鬼メイド
CC01fa000	和風メイド
CC01fb000	殺し屋メイド
CC01fc000	猫型ロボットメイド
CC01fd000	猫耳メイド
CC01fe000	琉球メイド
CC01ff000	魔法メイド
CC01fg000	魔法メイド学院
CC01g0000	モデル
CC01g1000	撮影モデル
CC01h0000	ライバー
CC01i0000	冒険者
CC01j0000	声優
CC01k0000	女優
CC01k1000	AV女優
CC01l0000	学生
CC01l1000	女子学生
CC01l1100	女子大生
CC01m0000	巫女
CC01n0000	店長
CC01n1000	1日店長
CC01o0000	忍者
CC01p0000	戦士
CC01p1000	伝説戦士
CC01p2000	魔法戦士
CC01q0000	探偵
CC01r0000	殺し屋
CC01r1000	殺し屋メイド
CC01s0000	海賊
CC01t0000	看守
CC01u0000	秘書
CC01u1000	社長秘書
CC01v0000	警察
CC01v1000	あにぽり
CC01w0000	軍隊
CC0200000	人工物
CC0210000	家
CC0211000	ドールハウス
CC0212000	部屋
CC0212100	ゲーム部屋
CC0212200	秘密のお部屋
CC0220000	施設
CC0221000	お城
CC0221100	氷のお城
CC0222000	アミューズメントパーク
CC0223000	カジノ
CC0224000	キャバクラ
CC0225000	ギルド
CC0226000	スナック
CC0227000	ダイナー
CC0227100	アメリカンダイナー
CC0228000	テーマパーク
CC0229000	バル
CC022a000	バー
CC022a100	ガールズバー
CC022b000	パブ
CC022c000	ラウンジ
CC022d000	リゾート
CC022e000	レストラン
CC022f000	動物園
CC022g000	収容所
CC022h000	学校
CC022h100	アイドル学校
CC022h200	メロディースクール
CC022h300	学園
CC022h400	美容学園
