CCterm	descEng	olderCCterm	cafeId	topKu	Age	EraClass	topKuEng	descEngV2	System	NodeShape	ClassLabel	topKu_grouped
CC0100000	Occupation	CC0100000	CCafe004	新宿区	0.671	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe454	渋谷区	2.34	2020to2022	Shibuya Ward	Occupation	CC0100000	circle		Shibuya Ward
CC0100000	Occupation	CC0100000	CCafe455	新宿区	2.42	2020to2022	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe459	千代田区	3.17	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe465	新宿区	6.51	2015to2019	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe471	文京区	3.25	2020to2022	Bunkyo Ward	Occupation	CC0100000	circle		Bunkyo Ward
CC0100000	Occupation	CC0100000	CCafe473	千代田区	2.84	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe479	杉並区	4.0	2020to2022	Suginami Ward	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe480	新宿区	3.0	2020to2022	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe486	渋谷区	0.748	2023to2024	Shibuya Ward	Occupation	CC0100000	circle		Shibuya Ward
CC0100000	Occupation	CC0100000	CCafe488	台東区	2.25	2020to2022	Taito Ward	Occupation	CC0100000	circle		Taito Ward
CC0100000	Occupation	CC0100000	CCafe492	北区	3.25	2020to2022	Kita Ward	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe493	八王子市	3.25	2020to2022	Hachioji City	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe496	文京区	3.17	2020to2022	Bunkyo Ward	Occupation	CC0100000	circle		Bunkyo Ward
CC0100000	Occupation	CC0100000	CCafe499	杉並区	2.25	2020to2022	Suginami Ward	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe502	港区	3.42	2020to2022	Minato Ward	Occupation	CC0100000	circle		Minato Ward
CC0100000	Occupation	CC0100000	CCafe505	千代田区	3.34	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe506	台東区	3.51	2020to2022	Taito Ward	Occupation	CC0100000	circle		Taito Ward
CC0100000	Occupation	CC0100000	CCafe514	豊島区	3.51	2020to2022	Toyoshima Ward	Occupation	CC0100000	circle		Toyoshima Ward
CC0100000	Occupation	CC0100000	CCafe516	新宿区	3.42	2020to2022	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe517	大田区	2.5	2020to2022	Ota Ward	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe518	豊島区	11.3	2010to2014	Toyoshima Ward	Occupation	CC0100000	circle		Toyoshima Ward
CC0100000	Occupation	CC0100000	CCafe522	中央区	6.09	2015to2019	Chyo Ward	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe526	中野区	4.42	2020to2022	Nakano Ward	Occupation	CC0100000	circle		Nakano Ward
CC0100000	Occupation	CC0100000	CCafe529	新宿区	6.01	2015to2019	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe532	八王子市	4.75	2020to2022	Hachioji City	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe445	新宿区	2.25	2020to2022	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe536	渋谷区	3.75	2020to2022	Shibuya Ward	Occupation	CC0100000	circle		Shibuya Ward
CC0100000	Occupation	CC0100000	CCafe444	千代田区	0.83	2023to2024	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe438	渋谷区	2.92	2020to2022	Shibuya Ward	Occupation	CC0100000	circle		Shibuya Ward
CC0100000	Occupation	CC0100000	CCafe322	千代田区	7.17	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe328	杉並区	0.504	2023to2024	Suginami Ward	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe336	新宿区	0.252	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe338	渋谷区	0.419	2023to2024	Shibuya Ward	Occupation	CC0100000	circle		Shibuya Ward
CC0100000	Occupation	CC0100000	CCafe345	港区	0.921	2023to2024	Minato Ward	Occupation	CC0100000	circle		Minato Ward
CC0100000	Occupation	CC0100000	CCafe348	新宿区	0.921	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe352	豊島区	0.921	2023to2024	Toyoshima Ward	Occupation	CC0100000	circle		Toyoshima Ward
CC0100000	Occupation	CC0100000	CCafe361	豊島区	1.17	2023to2024	Toyoshima Ward	Occupation	CC0100000	circle		Toyoshima Ward
CC0100000	Occupation	CC0100000	CCafe368	新宿区	1.17	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe371	台東区	0.586	2023to2024	Taito Ward	Occupation	CC0100000	circle		Taito Ward
CC0100000	Occupation	CC0100000	CCafe374	新宿区	2.0	2020to2022	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe379	目黒区	3.34	2020to2022	Meguro Ward	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe380	墨田区	2.92	2020to2022	Sumida Ward	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe382	新宿区	1.67	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe383	新宿区	5.51	2015to2019	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe385	新宿区	1.67	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe386	新宿区	1.75	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe390	台東区	5.01	2015to2019	Taito Ward	Occupation	CC0100000	circle		Taito Ward
CC0100000	Occupation	CC0100000	CCafe392	港区	0.334	2023to2024	Minato Ward	Occupation	CC0100000	circle		Minato Ward
CC0100000	Occupation	CC0100000	CCafe394	新宿区	4.09	2020to2022	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe399	中野区	2.17	2020to2022	Nakano Ward	Occupation	CC0100000	circle		Nakano Ward
CC0100000	Occupation	CC0100000	CCafe428	台東区	2.0	2020to2022	Taito Ward	Occupation	CC0100000	circle		Taito Ward
CC0100000	Occupation	CC0100000	CCafe431	立川市	3.09	2020to2022	Tachikawa City	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe435	新宿区	3.09	2020to2022	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe437	渋谷区	7.68	2015to2019	Shibuya Ward	Occupation	CC0100000	circle		Shibuya Ward
CC0100000	Occupation	CC0100000	CCafe440	港区	3.84	2020to2022	Minato Ward	Occupation	CC0100000	circle		Minato Ward
CC0100000	Occupation	CC0100000	CCafe540	豊島区	3.75	2020to2022	Toyoshima Ward	Occupation	CC0100000	circle		Toyoshima Ward
CC0100000	Occupation	CC0100000	CCafe544	千代田区	8.25	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe546	千代田区	2.25	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe628	立川市	11.5	2010to2014	Tachikawa City	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe631	千代田区	11.7	2010to2014	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe632	千代田区	12.0	2010to2014	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe643	武蔵野市	13.0	2010to2014	Musashino City	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe646	千代田区	12.8	2010to2014	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe648	中野区	12.9	2010to2014	Nakano Ward	Occupation	CC0100000	circle		Nakano Ward
